name,year,reviews
The Old Guard,11-Jul-20,"As this film is based on a comic book, similarities r inevitable but it is a solid action thriller.
A short summary - A small group of centuries old soldiers who r trapped in an immortality with the ability to heal themselves must save each other from being caged by big pharma companies. They soon realize that it is harder to hide in this 21st century and so must get organized to erase their footprints but at the same time deal with past grievances.The cinematography n editing r top notch. There is no shaky cam or darkly shot scenes. The hand to hand combat n gun fight sequences r noteworthy.
Charlize Theron is in awesome shape and all the other actors gave good performances.
Another highlight is the music."
The Old Guard,12-Jul-20,"I'm stunned. How can a topic that exciting be executed that boringly? It's a dull movie. Camera work, scenery, editing: uninspired. And that is already the kindest word I can think of. The setup takes way to long. The actors have very little to work with.
Go watch Highlander, instead."
The Old Guard,20-Jul-20,"Really loved the action, the acting and the melancholy feel to it all, much better than just an average action flick, except unfortunately for the incredibly stupid and jarring popsongs which ruin some scenes. Please please please just a decent score for (hopefully) part two. Other than that, really no complaints."
The Old Guard,10-Jul-20,"The premise was good, but they didn't got to do something interesting with it. It was kind of a bore all the way. Also, the soundtrack is one of the worst I've ever witnessed in a movie."
The Old Guard,12-Jul-20,"Really annoying music, movie not terrible nor good"
The Old Guard,12-Jul-20,Not bad but not great either. It's watchable but a tad bland. The script probably needed a couple more rewrites. 5/10
The Old Guard,12-Jul-20,"I wasn't going to write my thoughts after i saw this film, as i usually don't bother to do that. But now it has been a couple of days, and this movie has been eating at me for a little bit, so i felt i had to say what needed to be said.Listen, there is so much woke talk going around these days, woke is the new PC (Political correctness), and i do not immediately draw conclusions just because a movie has a female leading role. Some of the best movies i have ever seen has leading females. For example Alien, Aliens, Terminator 2 and Kill Bill. And, i also really liked Mad Max Fury road, in which Charlize was the leading role, and made Hardy look like a movie extra.I love great movies, with a great story, with a great script, great direction, great acting, great cinematography, great music, great cgi. I love movies that can deliver greatness. This is why my top ten movies and tv series of all time is 12 Angry men, Schindler's List, Pulp Fiction, The Shawshank Redemption, Alien, Das Boot, Apocalypse now, Band of Brothers, Breaking Bad and The Wire.I have seen over 3000 movies in my life, and i have even worked as a movie critic. But of course, my opinion is just subjective like anyone else's, I'm just mentioning this, because i do have some experience with this.Anyways, to try and keep all my points short. This movie has lots of bad acting in it, which is quite shocking when you look at some of the cast. The villain is dull and the story is a mess. And on the flip side we have a carefully balanced cast of white, black, middle eastern and Asian actors, and also two male characters that just happens to be gay.Listen.. I have seen brokeback mountain, it's a really good film. I grew up watching Jackie Chan and Bruce Lee movies which i love to this day, i am not homophobe, or a racist, or a sexist. All i want, is great movies.What defines a great movie? Well that is of course up to anyone to find out for themselves. But when a movie is so obviously designed around political correctness, the movie as a whole will suffer. Why? Because when your goal is to include as much LGBQT as possible, the story itself comes second. And if the movie isn't founded in cement, everything else will fall apart.What i think is weird, is how high this movie is rated, it is only 5 points behind Terminator 2. Just NO! It is 1 point ahead of Kill Bill.. NO! This movie is not even in spitting distance of those two films. Yet still, critics seem to love it.This is evidence of woke, i am so sorry, but it is. There is just no other way of describing it. I have seen this movie, i went in with an open heart as always, and I'm just left with this empty feeling inside of what did i just watch. Bad directing, bad acting, bad script, forced LGBQT story, absolutely horribly bad villain. I shake my head in disbelief, and it is higher rated than kill bill.... ok then.. And another example, it's also higher rated than Se7en and Joker. Yeah no, nope nope nope. I don't care about subjectivity anymore, we are living in a world now, where certain forces are at play, messing up peoples brain.What this movie has, is some cool action scenes, but even those become dull before we reach the half-way mark. Just an endless slaughter of stunt men in black armor gear. Can it be more dull? No.. It can't.In Kill Bill, at least we had Quentin Tarantino at the helm, who carefully crafted each scene, and made action scenes that are among some of the best ever filmed. But Gina Prince-Bythewood is no Quentin Tarantino, to put it mildly. The action is generic, predictable and dull..... So this movie doesn't work as an action movie either. And this sort of deep story they try to weave through the entire thing, about Charlize's loss and how she has suffered, and what she has been through. It doesn't work, they failed. And it is actually because their focus is in the wrong place.This movie is bad.
3/10. Stay way."
The Old Guard,10-Jul-20,"Feels like amateur hour. Script, dialogue, score and most of all directing are all awful!"
The Old Guard,10-Jul-20,"I kinda went into this expecting it to be like a ""popcorn, action summer"" movie but I found it really boring.It moves at such a sluggish pace for the first hour then it kinda picks up its pace but by then you don't really care.That is another big issue is that the characters are very paper thin for the most part. Its main take no nonsense lady, man, man, man and new girl. They are complete characters descriptions of the main cast. Charlize's characters is more developed with a deeper backstory but the others are so interchangeable and forgettable.The action scenes are well choreographed but I found the sound effects a bit too much like every time a sword or axe was used it would make a cartoon ""swoosh"" sound which I get it but I think it could have been tone down a little bit.It's not like terrible and you could probably watch it if you are really board but I wouldn't carve out 2 hours to watch it.Oh yeah it's 2 hours 5 minutes long which is too long and definitely has scenes that could have been left on the cutting room floor to tighten it up."
The Old Guard,10-Jul-20,"Actually a Great Action-Movie with good Fights and a Lot of Violence !The Story is good and there is a lot of Potential for 1-2 Sequels and i seriously hope they make themCharlize Theron just doen´t get old it seems, that Woman is abssolutly Bad-Ass !My Biggest Point Of Criticism is the Musik in the Movie, so freaking annoying and just bad, bad, bad , sorry, but that was seriously the biggest turn-off for me while watching the movieAll in All, Great Action, Good Story, Lots Of Potencial for Sequel(s) , good Acting but horrible Choice of Music in the Movie8 / 10Greetings From Germany"
The Old Guard,11-Jul-20,This is a really cheap TV movie with a couple of big names in it.
The Old Guard,10-Jul-20,"Terrible plot, lousy script, rotten acting and one of the worst soundtracks I've heard. Seriously B-grade rubbish. Don't waste your time."
The Old Guard,10-Jul-20,"If you have read the Graphic Novel before watching this, you are likely going to be disappointed because the novel is so much better.It is grander, Andy is more bad as*, more flashbacks about their old life, and the action scenes are much more spectacular.If you haven't read the novel and just watched this, I think you will still find it entertaining enough though. And I would highly recommend that you get the Graphic Novel afterwards."
The Old Guard,19-Jul-20,"Completely in love with the movie, it's going to be one of those types of movies that I rewatch time and time again."
The Old Guard,15-Jul-20,"That an action film should be exciting seems axiomatic -- so trite as to hardly bear mentioning. However, The Old Guard is more often an exercise in tedium interrupted by mindless action scenes we've seen done before and better.The plot is a mash-up of elements from Highlander and Coronet Blue, a television series from the 1960s, with a dash of shared dreams from Inception. However, as with many current films, the filmmakers seem more interested in exploring social issues than character and plot development.Much of the screen time is devoted to the dramatic question of whether a black female can be a superhero. Of course, this can't be somebody who is just black enough to seem exotically ethnic, with the manners, sophistication, education, and polish of an upper-middleclass suburbanite; but a tough, streetwise, dark-complexioned, cornrow-coifed war veteran who's a bit rough around the edges.So much time and attention is devoted to the training and inculcation of this new recruit, that potentially more interesting elements in the script are given short shrift. One character has an existential dilemma, which is never resolved. An intriguing element concerning the fate of a former member of the team is never resolved, despite the team's paranormal ability to share dreams, but is inexplicably revisited in a postscript scene during the credits.There is no B-story to give the movie emotional depth. The only romance is a homosexual relationship between two of the team members which may offend some, but will leave most viewers disinterested. There are several pitched gunfights with evil minions dressed in full tactical gear with helmets and balaclavas, who are dispatched with surfeit of bullets but minimal bloodshed, and about as much emotional impact as decommissioning robots.Charlize Theron was quoted recently criticizing Steven Seagal's fight sequences and suggesting that her own were more realistic and intense. For action-film fans, one criterion for evaluating action scenes is the length of the shots. In JCVD, Jean-Claude Van Damme does a three-minute scene involving numerous weapons and opponents, shot in one take. That's impressive. TOG employs a lot of quick cuts which only require the performers to master one move. The fights are fairly good, but Pale compared to movies like The Raid and Banlieue 13 (District B13), or the films of Tony Jaa, Jackie Chan and Jason Stratham.The filmmakers seem so concerned with being woke, that they neglect to make the film exciting, rewarding, intriguing or cathartic."
Greyhound,10-Jul-20,I served on a destroyer during the Korean War. This movie really captured the excitement of being on the bridge during convoy duty.
Greyhound,11-Jul-20,"Having served in the Cold War on both a destroyer and on a submarine, I found this story contrasting the tensions between both worlds. The action is shown from the bridge, CIC, and decks of the Greyhound, which BTW is the slang term for destroyers and those who serve on them. Hanks subtly conveys the ache of leaving a loved one behind and her presence with him during the battle. He and his crew feel the presence of the subs stalking the surface ships and the deaths of sailors both above and below the icy water. There is no perfect rendering of combat in film, but the repeated commands and protocols between naval personnel and vessels are accurate enough to convey a sense of proper urgency to the story. Compressing roughly 48 tense hours into a ~2 hour film doesn't give much time to absorb all that's happening, and that's the point. Training and subsequent reactions shape the story in the faces of the bridge crew as they watch the captain and follow his orders which he does not explain. This is about relationships between combatants, among the ships in the convoy, and between U.S. and British allies. This film, The Enemy Below, and Das Boot make a reasonable trilogy for a weekend marathon. Enjoy this story from either a technical or a relational view as you see fit."
Greyhound,10-Jul-20,"Spectacle? Dramatization? No. This movie allowed me to experience ww2 naval combat without the bombast of the usual action movie. It felt realistic with a decent amount of suspense, a glimpse through the eyes of the captain."
Greyhound,12-Jul-20,"Funny... reading the other reviews is what encouraged me to write mine. Most of the low scoring reviews complain about poor character development or thin plot lines. We've had 80 years of movies giving us lots of historical detail, real or imaginary characters development and simple or convoluted plot lines from the World War II era. This movie didn't really need a lot of that to tell the story it was trying to tell. If you're paying attention, you can see the characters develop as the story is told. You can see the scared people gather their courage, the dedicated and loyal people that ""take one for the team,"" and the dedicated captain who will change out of his service shoes bloodied from days of constant wear into the slippers that his girl friend gave him as a gift.There are plenty of movies that have tried to give you complex stories with multiple plot lines and lots of character development only to fail and perhaps try to make it up in the form of some action scenes. This movie was never about that. The action is first and foremost what drives it, and you learn about the characters through the course of the events of the action. This movie was great for Apple TV+ but, it probably would not have been as great for a theatrical release."
Greyhound,10-Jul-20,"This is a movie about the procedure of command. This is an innately more complex task than the more common episodic approach that buries the procedural reality under a mask of plot and character. But this film pulls it off, largely by not shying away from the task.Guess what? Naval warfare, especially the sort of highly asymmetric warfare shown here, doesn't really revolve around the captain demanding more speed while the engineer says she canna take it. If you're looking for a movie that's truly respectful of the labours and sacrifices made in the Battle of the Atlantic, then this is a fitting tribute.Don't expect a character movie, don't expect to spend time below decks exploring the usual stereotypes. This movie is seen through the eyes of the captain, and the captain alone. I can think of very few other films that dare to depict the loneliness of command quite so clearly. There's little time for thought, there's no time to process or even truly grasp the horrors that they encounter (something which forms one of the roots of PTSD). What there is is the fight.The fight is relentless and deeply technical. We've become used to fight scenes carrying a few bits of technical gibberish followed by some visceral and personalised action. There's no gibberish in this film, and the latter consists of the captain cutting his feet on broken glass. The movie, like the mind of the captain, is consumed with the intricate technical and personal demands required to hunt down a submarine at that time. That was clearly the aim here, and the movie has succeeded admirably at showing that particular aspect of this type of warfare. This is not a common way to stage a war movie, but it's worth doing well on a few occasions, and this movie achieves its goal.The reviews show that many come looking for something more conventional, and end up missing the point, which is a shame."
Greyhound,11-Jul-20,"Honestly, I decided to write a review to counter some of the more trivial reviews found in this thread and to try and present an objective perspective of this film.Firstly, the dialogue in this movie is typical for a movie depicting World War II Naval life and is accurate to the time period. Do not watch this film if you expect anything other than period correct Naval terminology or the constant passing of orders between the captain and the crew, as you are not going to be satisfied with this movie. Ninety percent of the dialogue in this movie relates to the business of conducting asymmetrical naval combat in a high-speed situation and is way too short to have a grand introspective or extrospective expose on the psychology of warfare or one's place in the world. Sadly, the short length of this film prevents any adequate amount of time dedicated to forging interesting and dynamic characters or a complex plot with a villain that was somewhat pointless. If anything, the director should have lengthened the film to expound upon the narrative and bring our cautious, somewhat hesitant, captain to life or pick a handful of critical Sailors to develop a relationship with within 80-minute time constraint.Secondly, there are better movies or shows that depict the Battle of the Atlantic which brings me to my second point. If anything; this film should have been broken into a mini-series, like Das Boot or a full feature series like Band of Brothers or The Pacific. Had the directors decided to embark upon that route, we could have had a significantly stronger plot and been able to identify with the characters in a more empathetic way. As a former United States Navy Sailor, I felt right at home with the style, accuracy, and briskness with which the film endeavored to portray. However, I did not find myself overly attached to any of the featured characters. In fact, the film attempts to ""show"" us that we should feel shocked, saddened, or disheartened by the plight of these Sailors, however, without any in-depth character development, I found it difficult for me to feel any more than somewhat saddened, and by the time that I did experience this emotion, the movie moved onto another chaotic event. Reflecting upon the movie now, maybe that is the point of the plot? Maybe, the film tries to showcase that the chaos of battle does not grant us a moment of emotional expression aside from the adrenaline rush of combat or a life-threatening event. In any case, if you are looking for significant character development, and a grander view of the Battle of the Atlantic at large, this is certainly not the film for you.Lastly, I do not, in any capacity, feel like I wasted an hour and half of my life like some of the other viewers felt. For me, it was a nostalgic trip back into an old life that I long forgotten and I enjoyed every minute of this film despite its shortcomings. Has Tom Hanks done better? Certainly. Did I think he did a poor job with this film? Absolutely not. While my main complaint is that this film could have been significantly longer, I am left with a desire to want to explore more in regards to the treacherous Battle of the Atlantic and the men of all nations who participated.Overall - I was pleasantly surprised with this movie, and while I felt that this film could have been produced as its own mini-series in order to develop the plot and the characters better, I thoroughly enjoyed my time, and I am sure I will return to it again in the future.Enjoy!"
Greyhound,19-Jul-20,"Good production, quite intense, very interesting reenactment of a battle at sea, although I am not sure how realistic and accurate it is (those submarines liked to fight a lot in plain sight over the water, right?).My main issue? It was like a documentary, lots of battle time but no much human drama. No time given to develop any characters or even make us feel something about these people.
Ships were sinking in the middle of the Atlantic and we never had a look in the horror of trying to survive this. Even Hank's character felt flat. The few scenes with his love interest were rather awkward and didn't contribute much. At one point we were wondering if the captain was in the spectrum or something..Still, if you are a fan of WWII movies I suggest to watch it for the unique perspective of a battle at sea."
Greyhound,10-Jul-20,"Loved the authenticity and general faithfulness to the technical side of naval warfare. For me, this is a great movie, I love seeing small little details in how the captain commands his vessel, and every crewman doing their job, and quick glances to the CiC trying to keep track of enemy vessels. The movie didn't need to show the crewman following the captain around and repeating every word that Sonar/Radar reports, but it does so and adds a very nice detail that I found to be great, and also helped build the stress and tension everyone was under.My only complaint is that the movie could have been longer. I could definately have watched a 3 hour version of this that took it slower in the style of Das Boot. Other than that, I recommend this movie for anyone that loves the more technical parts of warfare and especially naval vessels."
Greyhound,10-Jul-20,"Though the movie might have been right on technical terms , it somehow did not unleash the potential it hadI felt the movie could have been longer with a better depiction of the enemy to understand the details on strategy betterThe climax (if any) was not up to the markU571 and Das Boot had done a better job long time agoHowever in these time of pandamic with nothing new in the offering; this is worth a watch"
Greyhound,11-Jul-20,"Finally a movie that isn't conventional. We don't have to have character dev. This is a movie about war. If you need a backstory, learn some freaking history because it's pathetic how dumb Americans have gotten when it comes to history. The war in the Atlantic was very long and would be hard to make a movie out of it. How this movie is done, shows how the captains and crew would hunt and destroy Nazi u boats in that era. I'm glad the movie wasn't over 2 hrs like everything else in today's time. If you want to learn what it was like crossing the Atlantic during WW2, this movie is for you. If not, then yea I guess you'll say it's missed potential. I'd have to disagree, though"
Greyhound,11-Jul-20,"This movie may not be for everyone, but as a Navy veteran who has stood watch in CIC this movie is very realistic. I loved that there wasn't a lot of back story. It was more about how lonely and arduous the job of a Navy captain is. Must watch!"
Greyhound,10-Jul-20,"It was just OK which is reflected in my 6 star rating, which I think is generous. They made little effort at any sort of character development. Hanks has some sort of love interest that is hinted at, but that's it. I thought they were going to build some sort of bond between the captain and his Black cook, but that never got off the ground. We know almost nothing more about the man at the end than in the beginning.It's a difficult challenge to portray on film the battle between a destroyer and a submarine. This movie never really pulls that off, it's like listening to one side of a telephone conversation. The German U-boats never seem to be part of the narrative. They try to bring the U-boats in with their radio broadcasts which come across more as obscene phone calls than viable dialogue.Almost exactly half of the dialogue is sailors repeating orders. It got very tedious, very quickly. I thought they went too far in the whole ""navy talk"" department.I found the U-boat attack theme music to be mostly bothersome and heavy-handed, like death wail of a fat man, or a runner-up in Dumb and Dumber's most annoying sound in the world.The sea burial onboard was a moving tribute to our military dead. I couldn't imagine a better resting place than the open sea. I was air force and not really sure what we did. Threw bodies out the back of a C130? That'd be cool with me."
Greyhound,16-Jul-20,"Hanks:
""Left full rudder!
All ahead flank!""
""Bearing, range? What?""
""Harry Dicky!""
Butler named Cleveland:
""Sir, I made you pancakes. They're actually still warm somehow.""
Crew kid: ""Torpedo!""
Hanks:
""Where?""
Butler named Cleveland:
""Right here sir and I made coffee! it's still warm!""
Hanks:
""I mean torpedo where?""
""We don't know sir.""
Hanks:
""Right Full Rudder!""
""NO, left full starboard bearing 69!
""All ahead flank!""
""Bring my mittens, not the silk, but the wool. Scratch that they're too itchy. Bring the sheepskin ones!""
""Starboard flank!""
""Left full halfmast rudder flank 1,5 knots.""45 minutes later:Evil Nazi Submarine wolverine captain through intercom:
""Mr Hanks! You will all die in the middle of the night while you are warm in your beds dreaming about hamburgers and milkshakes! We like to kill people just for fun! We are evil! Tonight you will all die. You cannot escape! MUahahahaahahaha .
Did I mention we are evil?""
Hanks:
(with a face that expresses love, fear, passion, uncertainty, frostbite, (or maybe his feet are just killing him)
""Left right flanking rudders!""
""Hard right rudder! Hard over! Steer course 110! Flank their rudders!""
""Brace for impact and bring me my slippers.""
Butler named Cleveland:
""Here's a bacon and egg sandwich sir! Miraculously its still warm.
Better eat it since I'm not gonna be around much longer. After all, I'm the token black guy and must be killed off soon!""
Hanks:
""Harry Dicky! I want you to come!""
""Left full rudder all the way home!""
(Where are my slippers?)"
Greyhound,10-Jul-20,"If you have no attraction to military procedure then this film has no selling points.
No backstory or character development. Tedious action and boring dialogue.Back story is no longer then a couple minuets of naval captain leaving lover to go to war.
The rest of the movie is just naval commands I wish I was joking but this film is 80 minuets of rudder left rudder right and sonar positions.Only positive is the film look amazing the visual departments knocked it out of the park.Music was disappointing just generic tension music.This film had potential to be so much better. But the simple fact is there is no major story yet it's some how stretched out over 80 minuets of boring."
Greyhound,11-Jul-20,"One of my most anticipated 2020 films lands with a dull thud. Excluding credits, this movie is 78 minutes long... and 75 of those minutes are spent listening to Hanks scream orders like, ""Left Full Rudder! Bearing Two Niner Zero! Hard to Starboard!"" There is zero character development... and Elisabeth Shue (who gets second billing) has exactly 15 seconds of screen-time. What a disappointment."
Greyhound,10-Jul-20,I had great expectations as I had just finished season 2 of Das Boot. I was disapointed. It fails to even come close to the suspense and the horror of the battles in the Atlantic during WW2. Watch Das Boot instead.
Greyhound,11-Jul-20,No Character development.... I didn't find myself caring for anyone and in these kind of movies I usually find one or two I connect with.... there were nice battles but... there was no plot around it at all..I surprised Tom starred in this... It seemed destined for the B Bin...
Greyhound,18-Jul-20,"It is ok movie, but it is like a short story. There is no convincing character building, there is no back story. A the end you see it as ok short story that could be seen in 30 minutes and not 90 minutes."
Greyhound,10-Jul-20,"My question at the end of the movie was ""Why?""
Why make a movie about such a thin plot? Now, its rather difficult to make these comments about such dramatic events; but we are supposed here to review and rate a movie, not the bravery of those who fought and died in the events told by the movie.
So my question stands; on top of its thin plot, the movie has virtually no dialogues except a series of orders
""Right standard rudder!"" ""Right standard rudder, aye aye!""
""Steady ahead on 091!"" ""Steady ahead on 091, aye aye!""
""Contact bearing port 015, range 900 yards!""
Repeat the above dozens of times and you have 95% of the dialogues of the movie.
Character development is virtually inexistent as it is impossible in a movie like this; even Ha ks performance is just about OK.
So, why make a movie like this?"
Greyhound,12-Jul-20,"A lot of nautical talk and directions/distances, but very thrilling and one of the better war movies made I'd say. I'd rank Dunkirk, saving private Ryan , and hacksaw ridge ahead of this. But then this is right behind those."
Greyhound,20-Jul-20,"I've started to watch with an open mind, but being a seaman and ex navy it's hard to 'not' notice the flaws in this movie. It is a onesided storytelling. First and and formost i hate the computer animation, it is so 'Disney-like', second it is obvious that the seaman and military character is not present in the actors, third, never throughout the war did a u-boat surface at those short distances at all, let alone to commence a surfacebattle with a destroyer, and last, it is not raw enough, that's what made 'Das Boot' such a great movie... Pity... i had great expectations for this movie."
Greyhound,12-Jul-20,"What showed great promise left me wanting for more. What I did see was great acting by Hanks, good cinematography, and potential everywhere, but it was never developed. At the end I felt like I just watched a great 90 minute battle scene.What didn't happen was character development. It starts out with Hanks character proposing to his girlfriend, but learn nothing of her or their relationship. I got the impression she was somehow connected the the Navy, but I'll never know.The crew of the Greyhound is taunted by the Gray Wolf Submarine crew, but we know nothing about them.During movie a mess mate that had served Hanks character his meals was killed. You can see this weighs heavily on the Captain, but again, no depth. No answer to, why? We don't even really get to know any of the crew, or even the Captain.Is it worth watching? Yes, it is a good technical depiction of a Destroyer engaging in a battle with a submarine. Just don't expect the typical depth of a movie worthy of Hanks skill. This is no ""Private Ryan""."
Greyhound,15-Jul-20,"Lacking a back story for the main characters, any meaningful establishment of the broader WW2 situation, and being totally filled with fake looking CGI, Greyhound is a total dud.The entire film is one single battle that felt bland and empty. It lacks any depth what so ever. Thrown in is some commentary about the limited role African Americans played in the US navy that felt shallow and was dimly implemented. Tom Hanks does his Saving Private Ryan mark 2 performance, but it lacks anything new and certainly doesn't save this 'ship-wreck'.The CG looked so fake and is so over-used that I thought I was watching Polar Express a few times. With a budget this big they should have gone to sea and captured imagery that doesn't look like it came from a PS4 on steroids.The run time of the film is less than 90 minutes showing how little there is in terms of story. All there is is the battle, nothing more.You will probably get more emotion from watching a documentary.With the great cast and big budget the film makers could have made a memorable war epic about a critical aspect of WW2, but instead we have this uninteresting pile of rubble. Avoid."
Greyhound,17-Jul-20,"The movie is technically just borderline ok. It's all studio filmed and therefore lacks authenticity of people being on a ship, at sea. It felt too much that I was on set watching the actors as the shots are almost always too close to give wider ""sea"" context. The CGI is PS4 quality. Soundtrack and sound effects are underwhelming.The dialogue is navy technical and sometimes you have no understanding of what they are expressing. 40% of the film is sailors repeating orders. The movie is certainly a golden gem for Navy veterans who understand what it's about.Zero character bond or development. Very difficult to be empathic/care for them. One sided movie with less than 1% German presence in the film.It's 90 minutes wasted, yet it feels like if it was longer, it could have been better developed.This movie is not worthy of being a major theatrical movie nor a premium Apple TV+ movie. A disappointment."
Greyhound,11-Jul-20,"This was a part of history I had no knowledge of. Fascinating study of a man, a leader"
Palm Springs,11-Jul-20,"Films that revolve around characters repeating the same day over and over again has grown very tired in my mind. Groundhog Day perfected it and it really wasn't until more recently with Edge of Tomorrow that I really found a film that seemed to stand out among the rest. Well, I'm glad that I can now add Palm Springs to the list of films to put a clever spin on this concept. This film was originally supposed to play at more film festivals around the world and eventually receive a theatrical release, but things being the way they are, Hulu has now released it. Although this may be a film that's hard to find for some right now, here's why Palm Springs is one of the very best movies to come out of this bare year of 2020 so far.Nyles (Andy Samberg) and Sarah (Cristin Milioti) find themselves sort of bonding over the fact that they both really don't want to be at the wedding they're at. He's the date of someone who cheats on him and she is the sister of the bride, who clearly has many issues. Stumbling across a strange cave after the wedding, they both find themselves caught in a time loop that has them reliving the same day over and over again. Certain things are revealed about each of these characters that add a lot more depth to the story and I found myself incredibly engaged from beginning to end.Where this film shines the most is in the fact that it completely commits to the whole time loop concept, even giving a few winks at the audience. It never once makes any huge mistakes logically, which felt refreshing, especially in the ways it would subvert expectations and most importantly in the way that they choose to conclude the story. The way Palm Springs wraps up was a very entertaining and emotionally earned finale. Now, I feel like I say this about a lot of movies that focus so much of their time on very few characters, but I truly mean that if Samberg and Milioti didn't have any fun chemistry together, this film would've been a disaster. This is probably the most laid back and comfortable I've ever seen Andy Samberg be in a film and it made the entire experience that much better.Only having written and directed a few short films and a documentary before tackling Palm Springs, director Max Barbakow has honestly blown me away here. With a small budget, a small number of characters, and a small scope, this film felt much bigger than it was. I can honestly see a big future for him in the coming years. I will gladly seek out his next project. On top of his stellar work on this film, writer Andy Siara (who also doesn't have a huge filmography as of yet) added a very funny and clever tone to the whole concept. It was clear that the performers were very comfortable with the dialogue because their acting lept off the screen and that just seemed to be a nice mixture of everything coming together nicely behind the scenes.In the end, Palm Springs is a film that I was very much looking forward to, but was wary of due to the concept itself. Thankfully, this is one of the best movies that I've seen accomplish this concept in years. I'm not calling it a masterpiece by any means, but for a fun time loop movie, I really couldn't find many issues. At a mere 90 minutes, this movie flies by and has just enough clever surprises for those who may not have been completely engaged. While the idea itself has grown tired for me, this movie is undeniably hard to dislike. Everything about this movie put a huge smile on my face and if that isn't what the world needs right now, I don't know what is."
Palm Springs,10-Jul-20,"Palm Springs is just such a good time of a movie, i was smiling for just about the entire runtime. Andy Samberg kills as always, and so did Cristin Milioti, they are both extremely likeable and have great chemistry together.I liked happy death day a lot, and I am very much not unhappy with the trend of Groundhog Day genre movies. This is now my favorite one. It's so inventive with it's story I couldn't predict what was gonna happen at nearly any point. So many clever twists to a story that could get tiresome quickly if not done right.Props for casting Connor O'Malley and Jenna Friedman in smaller parts, they both rule. #MinionSquadThis is a greatly enjoyable and fun movie, that I would recommend to just about anyone. Watch it"
Palm Springs,13-Jul-20,"I was expecting a conventional rom-com where the guy meets the girl, but this one has a little twist. It's smart-funny, well written some of the shots are gorgeous and very wholesome. It's a fresh take for this type of ""genre""."
